date,cmcrbind,cfnai,cpiaucsl,fedfunds
2009m6,402.425454545454,-.91000003,214.78999,.20999999
2009m7,414.330909090909,.15000001,214.726,.16
2009m8,444.784761904762,0,215.44501,.16
2009m9,441.894285714286,-.25999999,215.86099,.15000001
2009m10,432.026363636364,-.25999999,216.509,.12
2009m11,453.966875,.039999999,217.23399,.12
2009m12,479.857142857143,-.33000001,217.347,.12
2010m1,492.892631578947,.22,217.48801,.11
2010m2,476.071052631579,-.36000001,217.28101,.13
2010m3,499.009565217391,.44999999,217.353,.16
2010m4,510.327619047619,.41999999,217.403,.2
2010m5,490.009047619048,.31999999,217.28999,.2
2010m6,476.158636363636,-.16,217.19901,.18000001
2010m7,474.427142857143,.18000001,217.605,.18000001
2010m8,498.623333333333,-.19,217.923,.19
2010m9,517.738571428571,-.20999999,218.27499,.19
2010m10,540.693888888889,-.1,219.035,.19
2010m11,554.8328571428571,-.23,219.59,.19
2010m12,574.086818181818,.079999998,220.472,.18000001
2011m1,593.987,.090000004,221.187,.17
2011m2,616.1868421052631,-.40000001,221.89799,.16
2011m3,619.743913043478,.38,223.04601,.14
2011m4,628.8085,-.44999999,224.093,.1
2011m5,606.3423809523809,-.31,224.806,.090000004
2011m6,602.988636363636,0,224.806,.090000004
2011m7,596.8105,.19,225.395,.07
2011m8,573.043913043478,-.07,226.106,.1
2011m9,560.2095238095239,-.22,226.597,.079999998
2011m10,536.798571428571,.16,226.75,.07
2011m11,528.8976190476189,-.38,227.16901,.079999998
2011m12,519.58619047619,.28999999,227.22301,.07
2012m1,531.0205,.33000001,227.842,.079999998
2012m2,547.179,-.050000001,228.32899,.1
2012m3,544.817727272727,-.36000001,228.80701,.13
2012m4,538.4865,.079999998,229.187,.14
2012m5,526.575909090909,-.20999999,228.713,.16
2012m6,510.606666666667,-.34,228.524,.16
2012m7,500.599047619048,-.23,228.59,.16
2012m8,510.03347826087,-.47999999,229.918,.13
2012m9,525.096842105263,-.059999999,231.015,.14
2012m10,516.027391304348,-.27000001,231.638,.16
2012m11,506.15,.30000001,231.24899,.16
2012m12,523.6005,.18000001,231.22099,.16
2013m1,534.059523809524,-.37,231.679,.14
2013m2,538.892631578947,.20999999,232.937,.15000001
2013m3,539.8680000000001,-.27000001,232.282,.14
2013m4,532.445909090909,-.31999999,231.797,.15000001
2013m5,524.8195454545451,.13,231.89301,.11
2013m6,523.8465,-.14,232.44501,.090000004
2013m7,520.793181818182,-.54000002,232.89999,.090000004
2013m8,525.0890909090911,.31999999,233.45599,.079999998
2013m9,521.304,.1,233.54401,.079999998
2013m10,514.874347826087,.0099999998,233.66901,.090000004
2013m11,520.0055,.28,234.10001,.079999998
2013m12,529.57619047619,-.1,234.71899,.090000004
2014m1,528.513333333333,-.72000003,235.28799,.07
2014m2,527.985263157895,.49000001,235.547,.07
2014m3,535.592857142857,.41,236.028,.079999998
2014m4,541.379047619048,.02,236.468,.090000004
2014m5,542.725714285714,.090000004,236.918,.090000004
2014m6,534.412380952381,.17,237.231,.1
2014m7,531.851818181818,.28999999,237.498,.090000004
2014m8,529.901904761905,-.19,237.46001,.090000004
2014m9,520.738571428571,.0099999998,237.47701,.090000004
2014m10,506.187391304348,.039999999,237.42999,.090000004
2014m11,504.694736842105,.28999999,236.983,.090000004
2014m12,497.909090909091,.02,236.252,.12
2015m1,485.6295,-.17,234.74699,.11
2015m2,474.951578947368,-.41999999,235.342,.11
2015m3,470.151363636364,-.039999999,235.976,.11
2015m4,467.630952380952,-.0099999998,236.222,.12
2015m5,471.626,-.37,237.00101,.12
2015m6,467.042727272727,-.11,237.657,.13
2015m7,451.962272727273,.31,238.034,.13
2015m8,444.229523809524,-.28,238.033,.14
2015m9,440.129047619048,-.16,237.498,.14
2015m10,424.649545454545,-.19,237.733,.12
2015m11,403.622,-.36000001,238.017,.12
